iter	Passed	Remaining
569	7448	5618
570	7460	5605
571	7472	5591
572	7483	5576
573	7494	5561
574	7505	5547
575	7517	5533
576	7530	5520
577	7543	5507
578	7559	5496
579	7572	5483
580	7583	5469
581	7595	5454
582	7606	5440
583	7617	5426
584	7629	5412
585	7642	5398
586	7653	5385
587	7665	5371
588	7677	5357
589	7689	5343
590	7700	5329
591	7711	5314
592	7723	5300
593	7736	5288
594	7749	5274
595	7761	5260
596	7773	5247
597	7785	5233
598	7796	5219
599	7807	5205
600	7819	5191
601	7831	5177
602	7842	5163
603	7854	5149
604	7866	5136
605	7878	5122
606	7891	5109
607	7902	5095
608	7915	5082
609	7929	5069
610	7941	5056
611	7954	5042
612	7966	5029
613	7978	5015
614	7990	5002
615	8001	4987
616	8013	4974
617	8024	4960
618	8036	4946
619	8049	4933
620	8061	4919
621	8072	4906
622	8084	4892
623	8096	4878
624	8107	4864
625	8118	4850
626	8130	4836
627	8143	4823
628	8156	4810
629	8168	4797
630	8181	4784
631	8192	4770
632	8204	4756
633	8215	4742
634	8226	4728
635	8237	4714
636	8248	4700
637	8260	4686
638	8273	4674
639	8286	4661
640	8298	4647
641	8311	4634
642	8323	4621
643	8337	4608
644	8349	4595
645	8364	4583
646	8379	4571
647	8392	4559
648	8405	4546
649	8417	4532
650	8429	4519
651	8440	4505
652	8452	4491
653	8465	4478
654	8476	4464
655	8488	4451
656	8500	4437
657	8511	4423
658	8521	4409
659	8533	4395
660	8544	4382
661	8558	4369
662	8571	4356
663	8583	4343
664	8596	4330
665	8608	4317
666	8620	4303
667	8631	4290
668	8642	4276
669	8654	4262
670	8666	4249
671	8678	4235
672	8690	4222
673	8702	4208
674	8713	4195
675	8725	4182
676	8737	4168
677	8747	4154
678	8759	4141
679	8771	4127
680	8784	4115
681	8796	4101
682	8809	4088
683	8821	4075
684	8832	4061
685	8844	4048
686	8855	4034
687	8866	4020
688	8877	4007
689	8890	3994
690	8902	3981
691	8913	3967
692	8924	3953
693	8936	3940
694	8947	3926
695	8959	3913
696	8971	3900
697	8984	3887
698	8996	3873
699	9008	3860
700	9021	3847
701	9033	3834
702	9045	3821
703	9056	3808
704	9068	3794
705	9079	3781
706	9090	3767
707	9103	3754
708	9115	3741
709	9126	3727
710	9137	3714
711	9149	3700
712	9160	3687
713	9170	3673
714	9182	3660
715	9194	3647
716	9206	3633
717	9218	3620
718	9230	3607
719	9243	3594
720	9255	3581
721	9266	3567
722	9277	3554
723	9289	3541
724	9300	3527
725	9312	3514
726	9323	3501
727	9335	3488
728	9347	3474
729	9359	3461
730	9370	3448
731	9383	3435
732	9394	3422
733	9407	3409
734	9421	3396
735	9434	3384
736	9446	3371
737	9458	3357
738	9471	3344
739	9482	3331
740	9493	3318
741	9505	3305
742	9517	3291
743	9530	3279
744	9541	3265
745	9552	3252
746	9563	3238
747	9575	3225
748	9586	3212
749	9597	3199
750	9609	3186
751	9620	3172
752	9632	3159
753	9644	3146
754	9657	3133
755	9669	3120
756	9680	3107
757	9692	3094
758	9704	3081
759	9715	3068
760	9728	3055
761	9739	3041
762	9750	3028
763	9761	3015
764	9772	3002
765	9783	2988
766	9796	2975
767	9809	2963
768	9820	2950
769	9832	2937
770	9844	2924
771	9857	2911
772	9868	2898
773	9880	2884
774	9891	2871
775	9902	2858
776	9914	2845
777	9925	2832
778	9938	2819
779	9950	2806
780	9961	2793
781	9973	2780
782	9985	2767
783	9997	2754
784	10009	2741
785	10021	2728
786	10033	2715
787	10045	2702
788	10057	2689
789	10069	2676
790	10081	2663
791	10092	2650
792	10103	2637
793	10115	2624
794	10126	2611
795	10138	2598
796	10150	2585
797	10162	2572
798	10173	2559
799	10185	2546
800	10198	2533
801	10209	2520
802	10221	2507
803	10232	2494
804	10245	2481
805	10259	2469
806	10271	2456
807	10283	2443
808	10295	2430
809	10307	2417
810	10319	2404
811	10330	2391
812	10342	2378
813	10354	2366
814	10366	2353
815	10378	2340
816	10390	2327
817	10401	2314
818	10412	2301
819	10424	2288
820	10435	2275
821	10447	2262
822	10459	2249
823	10471	2236
824	10482	2223
825	10494	2210
826	10506	2197
827	10518	2184
828	10530	2172
829	10543	2159
830	10555	2146
831	10568	2134
832	10581	2121
833	10593	2108
834	10606	2095
835	10620	2083
836	10633	2070
837	10645	2057
838	10658	2045
839	10670	2032
840	10682	2019
841	10693	2006
842	10706	1993
843	10718	1981
844	10728	1968
845	10740	1955
846	10751	1942
847	10763	1929
848	10776	1916
849	10789	1903
850	10802	1891
851	10813	1878
852	10824	1865
853	10836	1852
854	10848	1839
855	10860	1826
856	10872	1814
857	10884	1801
858	10896	1788
859	10907	1775
860	10919	1762
861	10932	1750
862	10943	1737
863	10955	1724
864	10968	1711
865	10979	1698
866	10990	1685
867	11002	1673
868	11012	1660
869	11024	1647
870	11036	1634
871	11048	1621
872	11059	1608
873	11070	1595
874	11081	1583
875	11093	1570
876	11105	1557
877	11116	1544
878	11129	1532
879	11141	1519
880	11153	1506
881	11164	1493
882	11177	1481
883	11189	1468
884	11200	1455
885	11211	1442
886	11223	1429
887	11234	1417
888	11245	1404
889	11257	1391
890	11269	1378
891	11280	1365
892	11293	1353
893	11304	1340
894	11316	1327
895	11328	1314
896	11341	1302
897	11353	1289
898	11364	1276
899	11376	1264
900	11387	1251
901	11399	1238
902	11411	1225
903	11423	1213
904	11435	1200
905	11447	1187
906	11458	1174
907	11470	1162
908	11481	1149
909	11492	1136
910	11504	1123
911	11516	1111
912	11528	1098
913	11540	1085
914	11552	1073
915	11564	1060
916	11575	1047
917	11588	1035
918	11600	1022
919	11612	1009
920	11624	997
921	11635	984
922	11647	971
923	11658	958
924	11670	946
925	11682	933
926	11695	920
927	11706	908
928	11718	895
929	11730	882
930	11744	870
931	11755	857
932	11767	845
933	11778	832
934	11789	819
935	11800	806
936	11811	794
937	11823	781
938	11835	768
939	11848	756
940	11861	743
941	11873	731
942	11885	718
943	11895	705
944	11907	693
945	11920	680
946	11933	667
947	11945	655
948	11958	642
949	11969	629
950	11981	617
951	11992	604
952	12005	592
953	12015	579
954	12027	566
955	12039	554
956	12050	541
957	12061	528
958	12073	516
959	12084	503
960	12094	490
961	12106	478
962	12118	465
963	12129	452
964	12140	440
965	12152	427
966	12165	415
967	12177	402
968	12188	389
969	12200	377
970	12212	364
971	12223	352
972	12236	339
973	12247	326
974	12261	314
975	12273	301
976	12284	289
977	12296	276
978	12306	263
979	12317	251
980	12329	238
981	12341	226
982	12352	213
983	12365	201
984	12377	188
985	12391	175
986	12402	163
987	12413	150
988	12425	138
989	12436	125
990	12448	113
991	12459	100
992	12471	87
993	12482	75
994	12494	62
995	12506	50
996	12517	37
997	12529	25
998	12540	12
999	12551	0
